iter	Passed	Remaining
154	1140	6217
155	1148	6215
156	1157	6213
157	1165	6210
158	1173	6205
159	1181	6202
160	1189	6197
161	1197	6192
162	1205	6188
163	1213	6184
164	1221	6179
165	1228	6173
166	1237	6170
167	1244	6165
168	1253	6162
169	1260	6154
170	1267	6144
171	1274	6136
172	1281	6126
173	1288	6117
174	1295	6106
175	1302	6096
176	1308	6084
177	1315	6076
178	1322	6065
179	1329	6056
180	1336	6048
181	1343	6037
182	1350	6030
183	1357	6020
184	1365	6014
185	1372	6004
186	1379	5995
187	1385	5985
188	1393	5978
189	1400	5968
190	1406	5959
191	1413	5950
192	1420	5940
193	1427	5930
194	1434	5923
195	1442	5915
196	1448	5906
197	1455	5897
198	1462	5887
199	1469	5879
200	1477	5871
201	1483	5862
202	1491	5854
203	1497	5844
204	1506	5841
205	1514	5835
206	1521	5827
207	1527	5817
208	1535	5809
209	1541	5800
210	1549	5793
211	1556	5786
212	1564	5781
213	1571	5773
214	1578	5764
215	1585	5755
216	1593	5748
217	1599	5738
218	1606	5729
219	1613	5720
220	1620	5711
221	1627	5703
222	1634	5694
223	1641	5687
224	1648	5678
225	1655	5669
226	1662	5659
227	1669	5651
228	1676	5643
229	1683	5635
230	1690	5627
231	1697	5617
232	1704	5609
233	1711	5603
234	1719	5595
235	1726	5587
236	1732	5578
237	1739	5568
238	1743	5552
239	1747	5534
240	1754	5525
241	1761	5516
242	1767	5507
243	1774	5497
244	1780	5488
245	1787	5478
246	1794	5471
247	1801	5462
248	1807	5452
249	1814	5444
250	1822	5438
251	1829	5430
252	1835	5420
253	1842	5411
254	1849	5402
255	1857	5398
256	1864	5390
257	1871	5383
258	1878	5374
259	1884	5364
260	1891	5355
261	1897	5345
262	1904	5338
263	1912	5330
264	1918	5321
265	1924	5311
266	1931	5302
267	1938	5293
268	1944	5284
269	1951	5277
270	1958	5268
271	1965	5259
272	1968	5243
273	1975	5234
274	1982	5227
275	1989	5218
276	1996	5210
277	2002	5201
278	2009	5193
279	2016	5184
280	2023	5176
281	2029	5168
282	2036	5159
283	2043	5150
284	2049	5141
285	2056	5133
286	2062	5123
287	2069	5115
288	2074	5102
289	2080	5094
290	2087	5085
291	2093	5076
292	2100	5067
293	2107	5060
294	2114	5053
295	2121	5045
296	2127	5036
297	2135	5029
298	2142	5022
299	2149	5014
300	2153	4999
301	2159	4992
302	2164	4978
303	2170	4969
304	2177	4961
305	2181	4947
306	2188	4939
307	2195	4931
308	2198	4917
309	2205	4909
310	2210	4896
311	2217	4889
312	2224	4882
313	2231	4874
314	2237	4866
315	2244	4858
316	2250	4849
317	2257	4841
318	2261	4827
319	2268	4820
320	2275	4812
321	2282	4805
322	2288	4796
323	2296	4791
324	2304	4785
325	2311	4778
326	2318	4770
327	2324	4762
328	2328	4749
329	2335	4741
330	2342	4733
331	2345	4720
332	2352	4711
333	2358	4702
334	2365	4695
335	2372	4687
336	2379	4681
337	2386	4674
338	2393	4666
339	2399	4657
340	2406	4650
341	2412	4642
342	2419	4634
343	2426	4626
344	2430	4614
345	2435	4602
346	2441	4593
347	2445	4581
348	2452	4573
349	2459	4566
350	2463	4554
351	2469	4546
352	2476	4539
353	2483	4531
354	2487	4519
355	2493	4511
356	2498	4500
357	2505	4492
358	2511	4485
359	2518	4477
360	2525	4469
361	2531	4461
362	2537	4453
363	2542	4442
364	2549	4434
365	2555	4426
366	2559	4415
367	2566	4407
368	2572	4399
369	2579	4392
370	2586	4384
371	2590	4373
372	2595	4362
373	2601	4354
374	2608	4347
375	2615	4341
376	2619	4328
377	2626	4321
378	2632	4313
379	2639	4306
380	2646	4299
381	2652	4291
382	2659	4284
383	2667	4278
384	2674	4272
385	2681	4264
386	2690	4261
387	2696	4253
388	2704	4247
389	2710	4239
390	2714	4227
391	2720	4220
392	2727	4212
393	2731	4201
394	2735	4190
395	2742	4183
396	2749	4176
397	2755	4168
398	2762	4161
399	2769	4153
400	2776	4146
401	2782	4139
402	2789	4132
403	2795	4124
404	2802	4117
405	2807	4107
406	2814	4100
407	2818	4089
408	2823	4079
409	2827	4069
410	2831	4057
411	2838	4050
412	2844	4043
413	2848	4031
414	2855	4024
